Index,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender
1,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,-3,61,Every three months,Female
2,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,2,51,Every three months,Female
3,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,1,62,Every three months,Female
4,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,4,69,Once a week,Female
5,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,2,49,Once a month,Male
6,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,55,Every three months,Male
7,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,2,56,Every three months,Female
8,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,23,Once a week,Female
9,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,58,Once a year,Male
10,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,32,Every three months,Female
11,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-2,53,Every three months,Female
12,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,3,28,Once a month,Male
13,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,65,Every three months,Male
14,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,54,Once a month,Male
15,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,67,Once a month,Male
16,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,51,Once a month,Male
17,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,34,Once a month,Female
18,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,2,31,Once a month,Male
19,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-4,47,Every three months,Female
20,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,I love it!+5,37,More than once a week,Male
21,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,2,41,Once a year,Female
22,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,2,36,Once a month,Male
23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,-2,23,Once a week,Female
24,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,I love it!+5,50,More than once a week,Female
25,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,2,39,Every three months,Female
26,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,0,35,Every three months,Female
27,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,20,Every three months,Male
28,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,0,34,Once a month,Female
29,No,Yes,No,No,No,Yes,No,No,No,No,No,0,55,Every three months,Male
30,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,24,Every three months,Female
31,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,44,Once a month,Male
32,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,40,Once a month,Female
33,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,55,Once a month,Male
34,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,37,Never,Male
35,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,4,48,Once a week,Male
36,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,54,Every three months,Female
37,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,38,Every three months,Female
38,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,49,Every three months,Female
39,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,35,Never,Female
40,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,55,Once a year,Male
41,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,2,31,Once a year,Male
42,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,3,57,More than once a week,Male
43,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,4,69,More than once a week,Male
44,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,3,37,Every three months,Female
45,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,60,Never,Male
46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,36,Once a month,Male
47,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,1,54,Every three months,Male
48,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,4,66,Once a month,Male
49,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,32,Once a month,Female
50,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,67,Once a year,Male
51,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,42,Once a week,Female
52,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,26,Once a month,Female
53,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,58,Once a year,Female
54,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,48,Once a month,Male
55,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,4,54,Once a month,Female
56,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,62,Once a year,Male
57,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,52,Once a year,Female
58,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,53,Every three months,Male
59,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,47,More than once a week,Male
60,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,26,Once a month,Female
61,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,I love it!+5,29,Once a week,Female
62,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3,24,Once a week,Male
63,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,25,Once a week,Female
64,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,54,Once a month,Male
65,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,23,Once a month,Female
66,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,0,34,Never,Female
67,No,Yes,No,No,No,No,No,No,Yes,No,No,1,47,Every three months,Male
